"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","PROB_CAT","(1,4]","phosphorus",0,0,0,0,0,0,0,0,0,0
"2","PROB_CAT","(1,4]","phosphorus",0.0051,0,0,0,0,0,0,0,0,0
"3","PROB_CAT","(1,4]","phosphorus",0.0056,0,0,0,0,0,0,0,0,0
"4","PROB_CAT","(1,4]","phosphorus",0.0068,0,0,0,0,0,0,0,0,0
"5","PROB_CAT","(1,4]","phosphorus",0.0072,0,0,0,0,0,0,0,0,0
"6","PROB_CAT","(1,4]","phosphorus",0.0076,0,0,0,0,0,0,0,0,0
"7","PROB_CAT","(1,4]","phosphorus",0.0077,0,0,0,0,0,0,0,0,0
"8","PROB_CAT","(1,4]","phosphorus",0.0079,0,0,0,0,0,0,0,0,0
"9","PROB_CAT","(1,4]","phosphorus",0.0083,0,0,0,0,0,0,0,0,0
"10","PROB_CAT","(1,4]","phosphorus",0.0086,0,0,0,0,0,0,0,0,0
"11","PROB_CAT","(1,4]","phosphorus",0.0089,0,0,0,0,0,0,0,0,0
"12","PROB_CAT","(1,4]","phosphorus",0.0093,0,0,0,0,0,0,0,0,0
"13","PROB_CAT","(1,4]","phosphorus",0.0098,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"14","PROB_CAT","(1,4]","phosphorus",0.0104,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"15","PROB_CAT","(1,4]","phosphorus",0.0107,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"16","PROB_CAT","(1,4]","phosphorus",0.0111,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"17","PROB_CAT","(1,4]","phosphorus",0.0112,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"18","PROB_CAT","(1,4]","phosphorus",0.0151,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
"19","PROB_CAT","(1,4]","phosphorus",0.0162,1,33.3333333333333,33.3333333333333,0,98.6654661513351,0.000147526995781187,0.000147526995781187,0,0.000436674594259707
